time,open,high,low,close,volume
2022-12-31,139.35,147.8,130.6,141.65,23788011155
2023-01-31,142.45,161.8,133.05,142.0,50027734391
2023-02-28,142.05,151.9,134.7,144.8,20693272259
2023-03-31,145.65,170.6,144.4,152.0,32755356672
2023-04-30,152.45,170.3,151.65,170.1,28604056306
2023-05-31,171.1,183.45,159.35,182.15,46200232474
2023-06-30,181.95,220.05,181.9,215.55,44492950413
2023-07-31,216.7,261.85,215.5,261.0,46166192215
2023-08-31,262.1,277.15,249.6,258.25,65839373896
2023-09-30,255.85,313.85,225.45,252.65,90068547451
2023-10-31,251.0,254.0,238.3,246.25,9763515834
