time,open,high,low,close,volume
2022-12-11,139.35,146.9,136.6,141.8,8206476396
2022-12-18,142.15,147.8,139.05,141.85,5954456233
2022-12-25,141.9,144.9,131.05,132.3,5548038820
2023-01-01,131.2,143.15,130.6,141.65,4079039706
2023-01-08,142.45,160.65,141.15,156.95,19531099582
2023-01-15,158.5,161.8,147.35,152.3,12200091543
2023-01-22,153.25,154.9,148.5,150.1,5835287581
2023-01-29,150.9,152.0,133.05,135.85,8548148971
2023-02-05,136.45,144.25,134.15,141.55,7461669932
2023-02-12,141.6,146.55,141.0,146.05,3725065002
2023-02-19,145.8,151.25,136.7,148.05,7172671194
2023-02-26,149.3,151.9,142.85,145.0,4865385187
2023-03-05,144.45,155.5,140.0,155.2,4885568489
2023-03-12,156.2,170.6,155.15,166.9,10974090977
2023-03-19,167.75,168.25,153.05,156.5,8200115880
2023-03-26,154.1,156.35,147.35,147.95,6079265325
2023-04-02,146.7,153.55,145.5,152.0,3997903659
2023-04-09,152.45,158.1,151.65,156.2,3405221818
2023-04-16,157.85,170.1,156.75,161.65,7785012022
2023-04-23,160.7,168.15,156.35,156.65,8522342568
2023-04-30,157.2,170.3,155.8,170.1,8891479898
2023-05-07,171.1,177.45,169.95,174.55,9757863429
2023-05-14,168.7,172.9,159.35,164.85,11873057057
2023-05-21,165.4,174.35,163.05,165.05,11082710364
2023-05-28,165.85,173.0,164.1,170.0,5963590483
2023-06-04,173.8,191.0,172.15,190.1,13110661570
2023-06-11,191.55,199.5,190.45,198.7,9887365884
2023-06-18,199.45,204.4,194.25,197.25,8544277486
2023-06-25,197.2,211.8,195.75,200.1,9798470039
2023-07-02,200.45,220.05,198.1,215.55,10675186575
2023-07-09,216.7,226.65,215.5,221.1,9509346102
2023-07-16,221.3,230.4,217.6,224.85,10683979039
2023-07-23,225.4,228.5,220.25,227.4,7222031306
2023-07-30,229.8,260.05,229.6,255.0,16726548520
2023-08-06,256.25,264.35,249.6,258.35,10213788672
2023-08-13,258.55,276.8,257.7,263.25,19479788349
2023-08-20,262.9,274.2,258.15,268.0,11175306694
2023-08-27,269.7,277.15,264.35,269.7,11438308010
2023-09-03,271.2,276.7,250.65,257.9,21879236917
2023-09-10,259.65,306.85,254.8,306.4,25131109398
2023-09-17,309.9,313.85,275.65,278.85,21517041779
2023-09-24,280.1,293.3,225.45,238.35,16079345957
2023-10-01,239.35,254.25,232.9,252.65,21018282819
2023-10-08,251.0,254.0,238.3,246.25,9763515834
