Sr. No.,Symbol,Exchange,Section,T4,T3,T2,T1, Max value ,Entry leg 1,Entry Leg 2,Min Lot Size
1,ALUMINIUM,MCX,Future,Daily,Hourly,15 Min,5 Min," 500,000.00 ",Buy Future,,2
2,COPPER,MCX,Future,Daily,Hourly,15 Min,5 Min," 500,000.00 ",Buy Future,,2
3,GOLDM,MCX,Future,Daily,Hourly,15 Min,5 Min," 500,000.00 ",Buy Future,,2
4,SILVERM,MCX,Future,Daily,Hourly,15 Min,5 Min," 500,000.00 ",Buy Future,,2
5,CRUDEOIL,MCX,Future,Daily,Hourly,15 Min,5 Min," 500,000.00 ",Buy Future,,2
6,NATURALGAS,MCX,Future,Daily,Hourly,15 Min,5 Min," 500,000.00 ",Buy Future,,2
7,BANKNIFTY,NSE,Index,Daily,Hourly,15 Min,5 Min," 500,000.00 ",Sell ATM PE,Buy ATM CE,2
8,NIFTY,NSE,Index,Daily,Hourly,15 Min,5 Min," 500,000.00 ",Sell ATM PE,Buy ATM CE,2
9,FINNIFTY,NSE,Index,Daily,Hourly,15 Min,5 Min," 500,000.00 ",Sell ATM PE,Buy ATM CE,2
10,MIDCPNIFTY,NSE,Index,Daily,Hourly,15 Min,5 Min," 500,000.00 ",Sell ATM PE,Buy ATM CE,2
11,AARTIIND,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
12,ABB,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
13,ABBOTINDIA,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
14,ABCAPITAL,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
15,ABFRL,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
16,ACC,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
17,ADANIENT,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
18,ADANIPORTS,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
19,ALKEM,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
20,AMBUJACEM,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
21,APOLLOHOSP,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
22,APOLLOTYRE,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
23,ASHOKLEY,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
24,ASIANPAINT,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
25,ASTRAL,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
26,ATUL,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
27,AUBANK,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
28,AUROPHARMA,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
